id|kind|starting_point|existing_path|remaining_gap|further_upgrade|comparison|metric|fixtures|decision_use
P11|decision|Judge the target from winning trades or displayed funded P&L.|All eligible-day trading net, separate cash ledgers, fees, failed accounts and payout states.|A mean result alone hides whether the gap to the objective comes from signal value, risk feasibility, inactivity or cash restrictions.|Add an auditable objective-feasibility decomposition and scenario frontier: opportunity count, budget-fit rate, selected trade value, zero-trade days, tail breaches, business costs and payout timing. Preserve common chronological account paths and uncertain product inputs; report the $2,000 goal on both accounting bases until specified.|Simple daily mean versus complete trading/account/cash path reports with paired assumptions and uncertainty.|Mean net per eligible day, distribution of cash timing, drawdown/breach frequency, objective shortfall decomposition and unresolved inputs.|Many profitable days but no payout; failed attempts incur fees; long no-trade periods; fee timing differs from P&L; exceptional day dominates mean.|Show what would have to improve for the one-account objective to be supported, without treating the target as a reason to chase losses.
P12|decision|Prefer the market that moves more points.|Matched-date one-mini NQ/ES comparisons under identical constraints and frozen selection.|Raw net averages can hide which market loses opportunities because one mini cannot fit the same USD budget or execution conditions.|Build risk-budget-compatible opportunity curves by instrument, decomposing information quality, structural stop feasibility, route costs, frequency and occupancy. Compare fixed NQ/ES and development-selected policies using paired dates and common uncertainty; any intraday selector remains a separately evaluated flat-confirmed policy.|Always NQ, always ES, existing development choice and feasibility-aware selection with the same scope and trial budget.|Net/day and paired uncertainty, budget-fit coverage, tail loss, fees/latency sensitivity and objective feasibility.|NQ stronger forecast but no affordable structural stop; ES lower costs but fewer useful moves; unequal data dates; selection after seeing outer test.|Choose the actual one-mini instrument on constrained economic opportunity, preserving NQ preference under the registered noninferiority rule.
R01|measurement|Call an approach fast or slow.|Causal approach episodes with speed, acceleration, signed effort, progress and pauses.|Absolute speed and volume mix normal session activity with unusual pressure at a particular distance from the level.|Construct approach trajectories in distance-to-frozen-band, wall time and covered activity, with residual speed/effort relative to comparable session/distance states. Compare compact trajectory summaries and a shared event kernel; expose stop-start structure and direction changes rather than only an average.|Fast/slow rules, raw summaries, exposure-normalized residual summaries and compact trajectory model.|Approach-state reproducibility, conditional path loss, entry timing value and computation.|Long pause then burst; high normal opening activity; moving band; sparse tape; crossing from wrong side.|Improve estimates of arrival quality and immediate-versus-wait decisions at every eligible location type.
R02|forecast|High volume with little price movement means absorption.|Observable stall prefixes separated from later displacement and book evidence.|Large effort can be ordinary for the state, and the same stall can precede reversal or continuation.|Estimate expected progress conditional on side-specific executed effort, spread, depth, activity and distance, then model the progress residual and its persistence. Keep print-only and book-supported channels separate; compare a joint effort/progress surface with the simple ratio and a transition hazard after the stall.|Source ratio, normalized residual surface, additive transition model and bounded local sequence challenger.|Conditional event/path loss, stall-versus-continuation calibration, net timing value and support.|Huge volume with normal low progress; missing book; unknown side; sustained hold eventually breaks; zero progress denominator.|Identify unusual resistance to pressure and forecast its next branch without asserting hidden participant intent.
R03|forecast|Declining push volume signals exhaustion.|Causal push segmentation, effort/pace decay and quiet-progress distinction.|Changing push duration, distance and trade-size mix can manufacture a decline in aggregate volume.|Model push effort and progress jointly after exposure adjustment for duration, distance and cohort composition. Compare robust sequential slopes with partially pooled push-to-push transition models; preserve incomplete pushes and uncertainty in segmentation rather than waiting for the final best turning point.|Raw declining digits, normalized trend, pooled transition hazard and optional compact sequence model.|Exhaustion/continuation proper loss, lead time, false signals from segmentation and incremental value.|Shorter push with same intensity; quiet quote-led continuation; changed cohort mix; unfinished last push.|Distinguish weakening pressure from a merely shorter observation interval and price progress requiring less effort.
R04|forecast|An extreme burst marks a climax.|Causal burst detection and separate continuation/rejection outcomes.|A fixed tail cutoff ignores local intensity and cannot distinguish concentrated stopping effort from broad accelerating participation.|Use conditional burst surprise by covered exposure, price concentration, cohort breadth and contemporaneous progress; retain a simple robust seasonal quantile baseline. Model post-burst competing continuation/stall/reversal transitions at detection and later prefixes; marked-intensity complexity must beat the compact features.|Raw quantile burst, state-normalized surprise, additive hazard and optional marked-process model.|Tail-event detection stability, branch/time calibration, incremental entry/exit net and false alarms.|Ordinary opening burst; distributed broad advance; one print dominates; late report; burst still in progress.|Use the shape and context of extreme activity rather than assigning every large print the same reversal meaning.
R05|forecast|Displayed size returns, so the level is defended.|Execution-adjusted net recovery, recovery delay and survival at the best price.|One recovery statistic hides repeated depletion cycles, diminishing resilience and uncertainty from batched book events.|Build a touch-local depletion/recovery episode ledger with pressure exposure, recovery-time distribution, retained displayed fraction and cycle-to-cycle decay. Compare deterministic recovery summaries with a state-transition hazard for price loss/reclaim, propagating feasible net-recovery bounds.|Hold rule, print-only, book-only, joint episode summaries and transition model.|Price-survival/reclaim proper loss, recovery-time calibration, bound sensitivity and economic increment.|Book batch conceals adds/cancels; zero displayed size; unchanged quote price; repeated recovery weakens; execution timing uncertain.|Measure how resilience evolves under actual pressure while retaining the limits of MBP-1 observation.
R06|measurement|Read depth support or pulling from a displayed ladder.|Full-depth mechanism explicitly blocked where absent, plus distinct BBO turnover proxies.|A single top-book snapshot loses the sequence of resilience as price visits successive levels.|Create a coverage-aware successive-best-price resilience map from observed visits, executions and recovery, with unobserved deeper levels explicitly absent. If suitable depth arrives, compare its incremental spatial support/cancellation information against the same top-book opportunity cohort; do not backfill hidden depth.|BBO snapshot, successive-best episode map and separately eligible full-depth challenger.|Measured-state fidelity, conditional adverse movement loss, incremental data value and coverage.|Price skips unobserved levels; repeated level visit; top size changes without depth; new depth feed has different dates.|Extract more supported structure from current observations and define exactly what additional depth would need to improve.
R07|forecast|A green candle with negative delta is a reversal clue.|Distinct closed-bar and developing footprint effort-result disagreement.|Two sign bits discard where opposing effort occurred, the path through the candle and whether the result was unusual.|Represent side-specific effort over causal body/wick/current-range coordinates and time within formation; add progress residuals and unknown-side mass. Compare continuous interactions and low-rank spatial-temporal summaries with raw signs, preserving separately trained developing and completed-bar cuts.|Sign rule, scalar interaction, structured footprint summaries and small tensor model.|Target proper loss, spatial contribution, timing delay cost, net increment and data support.|Final wick differs from current geometry; same totals with opposite event order; near-zero delta; body definition changes.|Turn disagreement into a graded, spatial and temporal description of pressure versus achieved movement.
R08|measurement|Use a fixed diagonal imbalance ratio and count stacked rows.|Exact diagonal/same-price variants, smoothing, minimum support and causal stack lifecycle.|A large ratio from sparse cells can outweigh a broad supported stack, and one maximum hides partial repair.|Compare posterior/shrunken side contrast with an exposure-weighted contiguous-support statistic; retain width, integrated contrast, uncertainty, gaps and repair fraction. Track the stack as a frozen causal object with forward revisions, then test its survival/action role separately.|Source ratio/length grid, shrunken cell contrasts, integrated stack support and local model.|False stack rate on sparse cells, geometry stability, defense/failure calibration and net location increment.|Zero denominator; one contract creates huge ratio; gapped stack; partial repair; tick-grid change.|Produce stable defense regions and confidence appropriate to the amount and continuity of observed flow.
R09|measurement|A POC flip from low to high indicates control changed.|Developing mode identity, dominance margin, mass centroid and successive-bar migration.|Argmax flips can reflect a near tie, while meaningful mass redistribution can occur without changing the maximum.|Track the distribution of newly added volume on a frozen grid, mode confidence set, normalized mass shifts and transport relative to the prior normalized profile. Decompose old fixed mass versus new additions; compare incremental functional summaries with the existing POC/centroid and tensor approaches.|POC sign/flip count, mass moments, transport/new-mass summaries and optional structured learner.|Grid/tie stability, early branch calibration, action value, latency and sensitivity to total exposure.|Two equal modes alternate; profile grows without relocating old trades; truncation/overflow; same final profile with different order.|Detect meaningful developing auction change while separating unstable maxima from supported new mass.
R10|forecast|Read control from CVD above a median or from one divergence.|All distinct multiscale price/CVD, cohort and cross-market cases with causal confirmation.|Rolling CVD trends can be driven by expected activity and correlated horizons; divergence labels omit whether flow or price is surprising.|Use joint expected-flow/expected-progress residuals and distributed lag responses at matched causal cuts. Preserve each source divergence as a comparator, add a sparse multiscale interaction model, and distinguish flow leading price, price resisting flow and contemporaneous disagreement.|Source cases, raw multiscale regression, residual lag features and pooled conditional model.|Per-case path loss, lead-time calibration, unknown-side sensitivity, net increment and redundancy.|Reset creates false divergence; noisy small cohort; same event reused at many horizons; asynchronous source market.|Unify comparison of control mechanisms without erasing their distinct directional and temporal meanings.
R11|forecast|Trade a break, retest or failed auction as one setup.|Separate ordered branches, prior-balance POC versus broader value, and unfinished outcomes.|Hard completed-pattern recognition misses useful partial prefixes and confuses expected duration with failed confirmation.|Use a semi-Markov branch model with explicit A/B objects, reference type, elapsed stage time and no-retest transitions. Compare source finite-state rules with partially pooled hazards that estimate each next branch and remaining travel; forecast at every permitted prefix.|Source completed patterns, branch tables, duration-aware hazards and compact sequence model.|Branch/time proper loss, prefix incremental value, no-retest coverage and exact source-case fidelity.|B-POC never reached; value edge reached instead; stalled unfinished traverse; return to A without entry authorization.|Price the choice to enter, wait or cancel during the full balance-transition process.
R12|forecast|A failed squeeze means fade, or a refill means squeeze again.|Plain squeeze, failed fade and renewed original-direction branches with separate origin IDs.|A single failure flag misses how much of the initial move survived and whether new effort replenished the original thesis.|Represent squeeze/failure/refill as a signed progress-and-effort trajectory with surviving displacement, reclaimed origin fraction, new versus reused flow and elapsed stage time. Compare shared transition models with branch-specific residuals against the source finite-state paths.|Source rules, branch frequencies, continuous stage summaries and duration-aware shared/branch model.|Branch calibration, sparse-branch uncertainty, prefix value and cumulative idea loss.|Complete versus partial failure; refill at a distinct pocket; quiet renewal; no renewed squeeze; catalyst persists after local failure.|Distinguish reversal from renewed continuation using measurable retained structure and fresh evidence.
R13|forecast|Fade a quiet failed push without waiting for own-side aggression.|Observed slowing/failure separated from missing tape and own-flow confirmation.|Quietness may be normal inactivity, degraded coverage or efficient progress with low trading effort.|Model the joint occurrence of reduced opposing intensity and reduced progress relative to covered state-dependent expectations; include quote-led progress and observed recovery when available. Compare failure-only action with direct C/L and later confirmation using the same boundary and executable prices.|Raw quiet rule, normalized failure features and joint hazard, each with act-now/wait policy comparisons.|Failure/continuation calibration, detection delay, coverage robustness and complete policy net.|Tape outage; normally quiet interval; low-volume steady trend; quote retreat without prints; valid quiet rejection.|Retain a supported passive-reversion branch without treating absence of displayed activity as evidence by itself.
R14|decision|Require a fixed absorption/reward/refresh sequence before entry.|Every causal stage and alternative source tick/update interpretation has its own action comparison.|A conjunction can discard valuable early entries and demand a later stage that adds little information at a worse price.|Estimate incremental information and action value after each named prefix, allowing skipped/alternative transitions in a compact stage graph. Compare additive evidence accumulation and duration-aware hazards with strict conjunctions; explicitly price confirmation delay and optional reward-area retest.|Each source threshold path, additive stages, flexible transition graph and bounded lookahead adapter.|Conditional value of each additional stage, calibration, missed moves, actual-entry net and compute.|Recovery in updates differs from price ticks; lift-off without refresh; late confirmation exhausts runway; repeated stage adds no new evidence.|Retain the useful parts of the sequence and determine which observed stages deserve waiting for.
R15|forecast|An aggression origin that was rewarded is protected structure.|Causal markout maturity, confirmed protection, survival and role reversal.|A single successful reaction overstates durability and conflates a strong market trend with location-specific defense.|Estimate protection strength from excess markout relative to matched context, new defense evidence and cumulative pressure, using shrinkage and age-aware survival. Compare price-only structure, raw rewarded effort and residual protection; preserve origin geometry and confirmation delays.|Source protection, swing-only trail, raw markout survival and context-residual survival/value.|Useful-lifetime calibration, incremental trail/exit value, decay stability and independent origin support.|Trend rewards every print; delayed markout not yet mature; strong first reaction followed by depletion; role reversal.|Use protected structure according to tested persistence and added information, rather than a permanent label after one favorable move.
R16|forecast|Repeated tiny reactions inside a wick identify a precise level.|Frozen neighboring nodes, causal interaction, overshoot/reclaim and current footprint evidence.|Sparse exact-price reactions encourage overprecise levels and retrospective selection of a visually attractive wick point.|Model reaction intensity across a local price band with uncertainty and neighboring-region competition; shrink repeated responses by common episode and compare band-based versus exact-tick anchors. Include overshoot depth, new pressure and whether the same reaction is counted by several nodes.|Node-only/flow-only, exact-tick source, uncertainty-band summaries and spatial conditional model.|Out-of-sample location precision, useful reaction/runner calibration, net after spread and effective episode count.|One wiggle touches several nodes; final wick unavailable; sparse minor peak; neighboring level explains reaction.|Assess whether minor structure earns a tradable precision improvement over a broader known region.
R17|forecast|Prefer the first or second defended retest.|Causal visit separation, cumulative testing and hierarchical durability/depletion hazards.|Visit number is a weak proxy when visits differ in pressure, recovery, duration and fresh evidence.|Replace count-only strength with cumulative pressure dose, recovery history, time since last defense and evidence novelty; keep visit count as an explicit comparator. Use recurrent-event transitions with shared object/episode effects and reset only under registered lifecycle rules.|First/second/count rules, existing repeat hazard and pressure-dose/renewal model.|Visit-conditioned calibration, cumulative idea net/loss, false visit counts and sparse-late-visit uncertainty.|Several flickers are one visit; second visit much weaker; refreshed evidence after long pause; object split/reidentified.|Distinguish depletion from renewed defense using the history that actually changed the object's state.
R18|decision|Enter a completed sweep/block with one fixed midpoint rule.|Faithful source timeframe, entry, stop, rejection and failure-through branches.|Bar alignment and discrete candle completion can dominate apparent setup quality and delay execution.|Add an event-time sweep/reclaim trajectory using the same frozen source anchors, plus continuous overshoot, reclaim speed and retained displacement. Compare it to each exact candle/timeframe variant with matched information-delay and executable-entry budgets; optimize entry/stop only in their registered joint grid.|Faithful 2/3/5-minute variants, corrected causal variants, event-time summaries and conditional action model.|Source fidelity, sensitivity to bar phase, prefix path calibration and complete one-mini net/risk.|Signal exists under one bar alignment; no retracement fill; confirmation after move; failure-through momentum; stop rounds beyond budget.|Test whether continuous causal geometry improves the timing and robustness of the preserved source patterns.
R19|decision|Require Response confirmation for every entry and use it for exits too.|Separate entry filtering, timing refinement and residual management on frozen C/L opportunities.|A single ablation can hide whether Response helps information quality, changes entry price or merely rejects hard trades.|Use a factorial action adapter comparing no Response, filter only, timing only, management only and prespecified combinations on the same initial opportunity ledger. Model paired incremental policy value at each actual prefix and remaining horizon, including skipped trades and occupancy.|Direct C/L, simple price confirmation, each Response role and bounded combined policies.|Full-day net, role-specific incremental value, selection/population effects, delay cost and complexity.|Filter improves hit rate but loses net; exit signal useful without entry signal; delayed entry changes stop feasibility.|Assign Response only the roles for which it adds evidence-backed value to the complete policy.
R20|measurement|Use visual Pine patterns and oscillator crosses as fixed signals.|Every preserved source member has faithful computable and corrected causal variants.|Binary pattern names discard continuous geometry, parameter stability and overlap among nearly identical scripts.|For every registered member-specific family, extract causal continuous distances, run lengths, overlap/repair fractions, pivot age and oscillator divergence magnitude alongside the exact source rule. Compare a small regularized shared feature basis with family-specific residuals, controlled parameter perturbations and bar-phase tests; retain script-specific exceptions.|Each original/corrected rule, continuous feature baseline and pooled/family-residual challenger with identical source eligibility.|Member-level fidelity, parameter/phase stability, incremental forecast/net value and redundancy.|Pivot confirmation lag; expanding window changes anchor; repair versus cross-section sequence; threshold near equality; missing source tail.|Upgrade each executable source mechanism through measurable geometry, while unsupported text remains an explicit dependency rather than an invented formula.
R21|forecast|Hard-gate one response style by a broad context label.|Distinct sequence experts with soft Context/coverage mixtures and hard-gate comparators.|Regime labels can abruptly disable useful alternatives, and contextual effects may be sparse or duplicated across experts.|Compare a regularized interaction basis and hierarchical residual gates that let common sequence evidence share strength while preserving branch-specific effects. Use continuous Context state and uncertainty, evaluate hard/soft alignment as alternatives, and shrink unsupported interactions toward pooled behavior.|Hard source gates, uniform mixture, existing soft gate and hierarchical interaction/residual model.|Proper loss by supported context, gate stability, net incremental value and missing-context robustness.|Higher-timeframe trend with local fade; ambiguous options scenario; rare transition; duplicated context in experts and gate.|Learn where each sequence contributes without assuming one broad market narrative determines all permissible actions.
R22|research_method|Treat illustrative charts and narrative annotations as ground truth.|Blinded structured annotation with uncertainty and numeric/source adjudication.|Agreement on easy examples can hide ambiguous mechanism boundaries and unsupported visual inference.|Create an annotation decision manual from observed geometry and causal prefixes, then sample both representative episodes and prespecified disagreement/edge cases. Compare numeric rules with independently blinded labels, estimate disagreement by clause and refine definitions on a development subset before a held-out annotation audit.|Numeric reference, independent blinded annotation and optional image-assisted extraction evaluated against structured records.|Clause-level reliability, ambiguity rate, price/time extraction accuracy and held-out definition stability.|Chart crop hides future confirmation; same image suggests two mechanisms; pending order mistaken for fill; annotator sees outcome.|Turn visual ideas into reproducible definitions and locate unresolved source ambiguity before it contaminates empirical labels.
M01|measurement|Accumulate signed trade volume and inspect its direction.|Exact ordinary CVD, reset/rolling variants, separate unknown volume and uncertainty.|The cumulative level mixes predictable activity, anchor age and unusual directional pressure; raw CVD alone does not describe how flow arrived.|Keep literal CVD unchanged and add causal signed-flow rate, innovations relative to train-fitted expected side/activity, multiple registered decay kernels and joint flow/price-progress residual features. Export raw and residual channels together, with unknown-side bounds and missing-tape masks; interpretation belongs to C/G/R.|Literal CVD, seasonal signed rate, residual multiscale flow and downstream sparse interactions on identical prints.|Arithmetic parity, residual support/scale stability, incremental target proper loss and constrained policy net.|Balanced heavy trading; reset discontinuity; unchanged cumulative close with opposite paths; observed unknown side versus missing trades.|Give downstream models unusual flow, persistence and pressure-response information without redefining CVD or assuming every signed print moves price.
M02|measurement|Filter trades above one size cutoff.|Source fixed cohorts, adaptive cohorts and true cumulative-path OHLC for each cohort.|Hard boundaries discard near-threshold similarity, while cohort activity and reported trade-summary conventions can change the apparent large-trader signal.|Add a continuous trade-size basis with overlapping soft cohort weights whose sum is controlled, alongside every exact hard cohort. Preserve true weighted cumulative OHLC and exposure/breadth per channel; compare normalized size/intensity and cross-cohort lead-lag features only on compatible provider/aggregation cohorts.|All-flow, source fixed/adaptive buckets, close-only versus true OHLC, and continuous size-basis channels.|Volume reconciliation, threshold stability, intrabar information increment, conditional path loss and runtime.|Print shifts across hard cutoff; provider aggregates differently; one huge print; empty cohort; future quantiles leak.|Retain the user's cohort distinctions while testing whether smoother size information and path shape outperform arbitrary cutoffs.
M03|measurement|Flag a mismatch between price highs and CVD highs.|Explicit ordinary/hidden divergence, cohort SMT and asynchronous cross-market reference breaches.|Binary flags omit mismatch magnitude, confirmation delay, normal covariance and which stream moved first.|Represent each source case by continuous standardized price/flow displacement, anchor age, breach order, lag and uncertainty. Add a train-fitted conditional residual/cross-lag basis and distinguish running-prefix from pivot-confirmed versions; preserve every source case as an independently scored comparator.|Exact case flags, simple slopes, continuous discrepancy/order features and regularized temporal interactions.|Case fidelity, delay-adjusted target loss, calibration by lag, redundancy and policy increment.|Small noisy miss versus large divergence; anchor revisions; one stream stale; identical endpoints with reversed order.|Measure how and when streams disagree, allowing tests of whether the mismatch has useful future information.
M04|measurement|Build a histogram and use its POC/value-area lines.|Exact trade profiles, source anchors, side-independent topology and multiscale/KDE alternatives.|A few landmarks hide broad shape, changing modes, unstable grid phase and whether new mass is unusual for formation progress.|Add frozen-grid multiresolution mass functions with explicit overflow, mode/plateau sets, prominence/persistence across smoothing scales and cumulative mass transport. Decompose changes into newly traded mass versus normalization/representation changes; estimate expected developing profiles by elapsed formation/activity and export residual shape. Future profile evolution is a separately fitted C08/L16 consumer target.|POC/VA, raw histogram moments, multiscale topology/transport, expected-profile residuals and optional compact functional encoder.|Mass conservation, grid/scale stability, shape-target information, location/role value and computational cost.|POC ties; multimodal valley center; changing row width; growing profile changes normalized mass; future-grid leakage.|Supply the whole auction shape and its meaningful development, enabling later prediction of mass redistribution and useful locations.
M05|measurement|Use positive or negative delta peaks as levels.|Buy/sell/unknown profiles, signed difference, side distributions and cohort channels.|Net delta cancels heavy two-sided activity, while a high ratio from tiny volume can look stronger than a well-supported shelf.|Add joint side intensity and shrunken contrast fields, side-distribution overlap/separation, cumulative imbalance and price-local unknown-sign envelopes. Use a common nonnegative mass basis before differences; keep magnitude, breadth and uncertainty separate and align updates with M04's frozen geometry.|Total profile, net delta, raw side ratios, shrunken multichannel geometry and optional structured encoder.|Side/total reconciliation, sparse-cell stability, uncertainty sensitivity, role/path loss and incremental net.|Large buy and sell shelf cancel in net; tiny denominator; unknown volume dominates one row; cohort mix shifts.|Distinguish concentrated directional pressure from intense two-sided trade and unsupported extremes.
M06|measurement|Count TPO letters or estimate time spent in a price row.|Distinct bracket visits, exact observed visits, bounded dwell estimates and source auction geometry.|Equal TPO counts can arise from contiguous acceptance, scattered returns or one brief touch per bracket.|Add causal occupancy/run-length and return-visit geometry: contiguous bracket support, first/last visit age, revisit gaps, observed dwell bounds and repair of sparse regions. Normalize against available bracket/time exposure without treating imputed dwell as observed; preserve daily/weekly IB and provisional/completed states.|Source TPO, exact visits, dwell, occupancy continuity and multiscale revisit summaries.|Bracket/dwell fidelity, boundary stability, incremental auction/role loss and location value.|Same counts with different visit order; sparse quotes; bracket in progress; overnight gap; missing interval.|Describe how acceptance formed over time, beyond how many brackets touched a row.
M07|measurement|Use VWAP and fixed standard-deviation bands.|Exact traded VWAP, anchor variants, stable moments and robust/quantile alternatives.|A mean can sit between modes, and differences among anchors can be difficult to interpret or select consistently.|Maintain weighted empirical quantiles and robust central bands alongside VWAP, plus deterministic decomposition of anchor-to-anchor differences into included volume and price contributions. Export relative positions, band asymmetry and convergence/divergence of supported anchors; downstream anchor selection uses only causal context and fixed comparisons.|Exact/bar VWAP, SD/percentage bands, weighted quantile/robust bands and multi-anchor geometry.|Moment/quantile fidelity, outlier sensitivity, anchor stability, reclaim/continuation loss and net role increment.|One extreme print; bimodal mass; low-volume anchor; rolling downdate; new event anchor resembles an old one.|Preserve the reference mean while providing robust distribution shape and interpretable multi-anchor context.
M08|measurement|Choose a fixed pivot lookback or Fibonacci swing.|Confirmed versus provisional pivots, fixed/volatility directional changes and exact retracement identities.|Each scale duplicates some extrema and introduces a different confirmation delay; a single chosen scale hides this tradeoff.|Build a causal multiscale swing tree with parent-leg relationships, confirmation delay, prominence and persistence across registered thresholds. Preserve threshold values at leg birth, record split/merge revisions forward, and compare compact tree summaries with one-scale swings under matched delay budgets.|Each source pivot/reversal rule, single-scale baseline and multiscale persistence/leg-tree representation.|Prefix parity, anchor stability, confirmation-cost-adjusted target loss, location utility and state size.|Nested swings; threshold changes without price reversal; simultaneous confirmations; equal extrema; provisional leg extends.|Expose stable structure and scale relationships while pricing the information delay required to know them.
M09|measurement|Use top-book imbalance or a rolling OFI number.|Exact MBP-derived OFI, microprice, trade/book channels and bounded net recovery.|Static imbalance loses pressure persistence and trade/quote interaction; raw OFI scale changes with displayed depth and activity.|Add event-exposure-normalized pressure, distributed-lag OFI/trade interactions, imbalance persistence and depletion/recovery episode summaries. Compare simple causal exponential kernels with learned compact lag weights; retain source-order and zero-depth masks and separate price-change from size-change contributions.|Quote-only, trade-only, raw OFI, normalized lagged joint features and optional compact sequence model.|Event arithmetic, scale/support stability, price-path/cost loss, net increment and latency.|Empty side; flicker with no trade; common batching; unchanged healthy quote; stale copied snapshot.|Represent how observable book pressure builds and resolves without claiming off-touch depth or queue identity.
M10|measurement|Read tape speed or divide movement by volume.|Covered intensity, size/arrival distributions and explicit effort/progress components.|Ratios are unstable at low exposure and conflate expected activity with exceptional effort or efficiency.|Fit simple conditional expected intensity/progress baselines by session, spread, volatility and covered exposure; export residuals, dispersion, burst persistence and nonlinear effort-progress curves. Compare a ratio with a joint two-dimensional surface before point-process or sequence complexity; keep future markouts in matured labels only.|Rolling counts/ratio, seasonal z-scores, joint residual surfaces, then registered count/process challengers.|Exposure fidelity, low-denominator stability, conditional target loss, transfer across sessions and decision increment.|Zero effort; sparse clock window; higher volume with proportional progress; changing trade size; missing coverage.|Measure unusual participation and resistance/efficiency with interpretable raw components available for every inference.
M11|measurement|Remember a large print or cluster as a permanent trapped level.|Causal aggression clusters, markout maturity, decay, retests and survival variants.|A single cluster center hides distributed pressure and reuses correlated observations across nearby memories.|Maintain a sparse signed spatial memory field with multiple declared decay clocks, cluster lineage and uncertainty, plus retrieval of comparable matured episodes by observable state. Compare deterministic kernel memory with hard clusters; learned lifetime/markout remains downstream and cannot assign ownership.|Fixed-size cluster, KDE/cluster baseline, sparse memory field and supported context-conditioned retrieval.|Mass/lineage fidelity, memory stability, useful-lifetime/path loss, storage cost and location value.|Clusters merge/split; same prints in overlapping windows; markout pending; retest adds new flow; repeated failure.|Retain where meaningful effort accumulated and how its relevance changes, without turning historical trade flow into invented current inventory.
M12|measurement|Treat all opens, closes and settlements as interchangeable levels.|Typed official/source references, first-observed distinctions, exact gap and fractional constructions.|Independent scalar gaps lose their decomposition across session, reference convention, basis and contract roll.|Create a typed reference graph with deterministic differences, elapsed publication age and bridge provenance. Decompose compatible gaps into overnight/session movement and known coordinate/basis effects; emit reference consensus/spread without merging unlike prices. Preserve every source fraction/body/range construction.|Single open/settlement, separate typed references and graph-derived relative geometry.|Price/unit reconciliation, publication-time fidelity, roll/basis separation and conditional gap/return information.|Delayed official settlement; no first trade observed; adjusted roll series; body25 differs from range quarter; stale reference.|Use reference relationships consistently and test which differences carry information instead of silently substituting one reference for another.
M13|measurement|Read a footprint's largest imbalance or final delta.|Exact side/unknown rows, diagonal variants, stacks, tails and within-bar path extrema.|Final cells discard temporal order and a dense tensor may be costly or sparse relative to available evidence.|Build a causal multiresolution footprint with chronological prefix slices, integrated side contrast, concentration, tail geometry and scale-stable local patterns. Compare compact low-rank/wavelet-style spatial summaries with exact source thresholds and a small tensor encoder, controlling observation granularity independently of learner capacity.|Source rules/bar proxy, exact row statistics, compact spatial-temporal basis and eligible tensor model.|Volume reconciliation, temporal-order information, sparse-cell robustness, target/net improvement and memory/latency.|Same final footprint with opposite order; row aggregation changes stack; unknown side; final wick unavailable; sparse tail.|Retain useful fine-scale aggression geometry in a representation that can be tested and computed efficiently.
L01|location|Trade fixed quarters or EQ as generic support/resistance.|Exact internal coordinates with distinct internal-to-edge and internal-to-extension roles.|One line per fraction ignores a broad useful interior region and how role changes after a break, purge or value shift.|Represent internal geometry as a range-relative role/value field conditioned on frozen range width and observed path. Compare exact quarter/open points with bounded bands and small train-selected offsets using shared L16 machinery; retain separate reversal, continuation and target roles with equal candidate/width budgets.|Source quarters/EQ/open, conditional point roles, bounded field/band variants and simple dense-grid controls.|Role/path calibration, width-matched location precision, selected net and candidate coverage.|Wide versus compressed range; interior useful before any edge touch; moved formation range; identical point has opposite role after reclaim.|Improve internal opportunity placement and interpretation without imposing edge-first or permanent fade rules.
L02|location|Project fixed multiples beyond a range edge.|Every source extension coordinate and conditional retrace/continuation/reversal role.|A disconnected list of multiples loses ordered travel, spacing and uncertainty about where overshoot may resolve.|Create an ordered extension ladder with frozen coordinate semantics, conditional overshoot density, reach/order state and role transitions. Compare exact source ratios with C06-derived quantile bands and bounded refinements at matched candidate counts; do not infer order from marginal extrema alone.|Source ratio ladder, nearest extension, conditional quantiles and role-aware ordered ladder.|Reach/role/time proper loss, width/count-matched net, sensitivity to scale and remaining horizon.|Gap skips a band; 1.33 internal coordinate differs from edge+1.33W; partial retrace then extension; repeated break.|Choose meaningful destinations or reversal/continuation regions along the possible extension path.
L03|location|Keep yesterday's RTH highs/lows until swept.|Faithful RTH-only freshness and full-session touch-aware alternatives with exact anchors.|Binary fresh/swept state discards pressure, depth of excursion, reclaims and overnight information.|Maintain a source-clock memory vector for each prior-session reference: touch dose, excursion/reclaim, time away, accepted volume/time and current-session relation. Compare graded survival/role effects with delete-on-touch and the faithful ETH-ignoring rule; preserve inner 06–09 and outer RTH identities.|RTH-only source, ETH touch flag, graded session memory and conditional role model.|Anchor fidelity, useful-lifetime calibration, session-transfer performance and net location increment.|ETH wick only; sustained overnight acceptance; prior RTH level reclaimed; missing overnight data; half-day anchor.|Use overnight and session-transition evidence as tested information while retaining the original source comparator.
