id|focus|definition|comparison|fixtures
O06|Position-interval and publication lineage|Store OI position interval and knowledge/publication separately. At a newly delivered report, advance the state anchor once; do not retain already covered flow as new inventory evidence. Missing reports and explicit zero reports differ; label revisions follow a frozen policy.|Compare first-report primary labels and revised-report sensitivity with exact contract/report intervals.|Delayed report replacing an older anchor; prior flow counted twice; Friday/holiday gap; missing zero row; first-observed archive version is actually a revision.
O07|Coherent endpoint distribution|Forecast nonnegative endpoint stock with contract/strike/expiry aggregates reconciled through joint samples. Do not enforce signed-delta volume bounds when gross flow, exercises or adjustments invalidate them. Weight repeated prefix predictions of one endpoint as dependent observations.|Compare persistence, volume-only, hierarchical/count/distributional and sequence/set methods on identical publication-eligible endpoint labels.|Many minute prefixes share one report; aggregate quantile differs from sum of marginal quantiles; newly listed option; expiry cohort with no comparable next report.
O08|State-anchor flow coverage and assimilation|Any volume-based current-holdings bound must cover all relevant transactions since the report's position interval, not merely since receipt or process start. Gaps add uncertainty. Report updates reconcile already assimilated flow once; O07 forecasts and their underlying flow are not independent observations.|Compare frozen state, feasible identified intervals and endpoint-trained latent paths; include direct observed-flow forecasting as a challenger.|Missing pre-receipt morning trades; restart mid-day; delayed report; identical endpoint with different intraday paths; duplicate forecast/flow input narrows uncertainty incorrectly.
O09|Local exposure versus finite hedge scenario|The gamma quantity scaled to a 1% move is a local derivative-based sensitivity. A finite 1% move, especially near expiry, requires full option-delta repricing with the stated surface/holdings scenario. Signed ownership remains an assumption; unsigned concentration is observable only conditional on valuation/OI inputs.|Compare scaled local Greeks, exact finite-shock delta changes and observed-feature direct forecasts without renaming any of them actual dealer hedging.|0DTE move across strike saturates delta while local gamma overstates change; sign scenario reversal; multiplier error; zero assumed holdings; simultaneous IV/time/price move.
O10|Counterfactual domain for attribution|A factor-order decomposition must define valid revaluation for expiries, listings and missing support at both endpoints. Do not invent a prior quote or zero OI to balance a union. Reconcile comparable economic changes separately from coverage/unknown residuals; factor allocations are conventions.|Compare fixed-intersection revaluation and full-scope change, with ordered/symmetric attribution only on valid counterfactual states.|Contract expires between snapshots; new listing with no prior valuation; wing disappears; zero total change with large offsetting factors; factor order requires an invalid expired surface.
O11|Node identity under representation changes|Separate raw strike membership, extraction-version changes, node split/merge and mapped-coordinate movement. Physical support, scenario uncertainty and contact tolerance remain distinct. Grid/smoothing changes cannot masquerade as economic node migration.|Compare individual strikes and stable clustered objects at matched density, width and support; evaluate identity quality before role-model gains.|Equal peaks swap rank; smoother joins two nodes; one quote vanishes; same members move in normalized moneyness solely because spot changes; born-after-contact proposal.
O12|Economic survival versus observation censoring|Define survival of members, extraction identity and actionable role separately. Expiry is an economic endpoint; feed/quote loss censors observations; merge/split produces lineage events. Rank and share changes retain denominator attribution.|Compare static nodes and duration/history models with competing endpoints and censor sensitivity; never train missing-data death as proven unwind.|Outage deletes a node; expiry removes it; two nodes merge; total board exposure changes with one node constant; physical strike fixed while mapped center moves.
O13|Typed topology and scenario semantics|Pattern detectors name the exposure channel, sign assumption, universe and distance order. Opposing signed scenarios are not observed opposing dealers; exposure valleys do not establish thin order-book depth. Forecast ports run after their stated primitive measurements.|Compare named rule grammar and continuous topology on identical boards with scenario/density controls.|Same unsigned board under opposite sign scenario; mixed expiry at one strike; small intervening node; no quoted liquidity information in an exposure air pocket.
O14|Set identity and masking invariants|Permutation invariance does not mean duplicate invariance: duplicated acquisitions are errors, while distinct compatible contracts have real additive mass. Preserve absolute price, remaining time, identities and masks; padded tokens cannot contribute to pooling or calibration.|Compare summaries, per-expiry experts and set/graph/temporal models with the same information, mask patterns and fitted upstream closure.|Duplicate exact contract; two distinct series share strike; all padding; absent expiry; randomized record order; future temporal token; cardinality change without exposure change.
O15|Flow conservation with shared sign error|Maintain full eligible trade mass, event corrections and buy/sell/unknown totals independently for contracts and premium. Scenario intervals preserve correlated sign errors and unknown coverage; missing trades cannot be bounded merely by observed unknown-side volume.|Compare gross and signed constructions on common complete scope; quantify selection bias of notable/top-N print feeds.|One bad quote signs many prints; correction reverses premium; all signs unknown; top-N cap; missing tape interval; calls and puts with equal premium but different contracts.
O16|Frozen weighting and mapping Jacobian|Retain the actual Greek snapshot chosen at trade availability, its event-time eligibility and physical units. Event-frozen, arrival-repriced and later-revalued series are separate. Receiver mini-equivalent mapping includes its coordinate Jacobian and uncertainty; changing mapping is not new flow.|Compare unweighted/Greek-weighted and native/mapped channels with identical prints, preserving within-bar order and each channel's independent tests.|Late Greek snapshot; 100x vega convention; near-zero mapping slope; a mapping update changes cumulative equivalent without trades; same weighted close with different extrema.
O17|Center and band denominator semantics|Compute the magnitude center before rounding and split upper/lower strictly under the chosen equality rule. All-on-one-strike, zero total and absent-side cases have distinct outputs. Opening-envelope samples count valid observed clock intervals, not only changed prices or copied unverified snapshots.|Compare exact source center/filter/envelope and robust center variants with fixed expiry/support and separately labelled scenario bounds.|Center lies between ticks; all mass at center; 50% of maximum versus percentile; eight covered unchanged minutes; eight copies spanning an unobserved outage.
O18|As-of breadth and exposure denominators|Store eligible/listed/quoted/traded contract denominators separately. Prior same-time volume norms condition on covered duration and known session calendar. Volume/OI, count share and premium share retain distinct interpretations and zero/missing states.|Compare normalized breadth/concentration versus raw flow under stable and changing universes; partial pooling uses only prior data.|Broad list arrives later; no OI report versus zero OI; one high-premium print; intraday acquisition gap; short session volume compared with full sessions.
O19|Distinct native futures-option capabilities|Use exact underlying future, exercise/payoff and outright/UDS identities. A valid aggressor trade can support flow despite absent option BBO; settlement/trade-implied valuation is explicitly event-specific and uncertain. A daily settlement cannot be a continuously refreshed quoted surface.|Compare flow-only, published-OI/settlement-only and combined native/OPRA information at matched availability.|Trade-only strike with no IV; negative spread price; delayed settlement statistic; unknown multiplier sentinel; distinct underlying futures for nearby option expiries.
O20|Causal package allocation without duplicated mass|A print may have uncertain membership, but each realized grouping scenario allocates its mass once. Later legs revise package hypotheses only at their availability; they cannot relabel the first decision view. Unknown package direction stays a scenario.|Compare no grouping, documented flags and causal clustering with delayed-completion and coincidental-print controls.|One print matches two packages; delayed second leg; incomplete ratios; identical size coincidence; grouping changes signed net but not total raw mass.
O21|Statistical versus identification uncertainty|Retain separate data/coverage, numerical, sampling, model and latent-identification uncertainty, plus their dependence. A calibrated forecast can be evaluated on observed outcomes; unobserved dealer/current holdings cannot acquire truthful confidence from that calibration.|Compare point forecasts, coherent joint scenarios and conservative bounds using identical downstream targets and eligibility.|Common underlying error across all contracts; several independent scenarios incorrectly averaged into confidence; missing wing outside training support; perfect in-sample applicability score.
O22|Role targets and proposal lifecycle|Define reach, traversal, rebound, continuation and invalidation events explicitly; roles may overlap unless an exclusive outcome partition is declared. New refined entries are new birth-time proposals. Local→cross-asset→joint-refined ports execute once without same-cut feedback.|Compare direct observed features and holdings-mediated features on the same targets/candidates, then compare proposal-generation changes separately.|A node is traversed then supports continuation; target and support labels overlap; offset selected after contact; source-only reaction; joint-refined forecast fed back into local ancestor.
O23|Complete minimizer and payoff domain|Return the full minimizer set over the declared valid settlement domain, including flat intervals or the entire domain when OI is zero. Unknown wings imply unknown payoff contributions, not zero contracts. Terminal intrinsic payout remains distinct from holder P&L and earlier American exercise.|Compare breakpoint slope arithmetic with independent direct payoff sums and fair round-strike/node role baselines.|Calls-only lower flat region; puts-only upper flat region; zero OI; changed valid price domain; missing wings move minimizer; adjusted deliverable needs a different payoff function.
X01|Availability intervals and source cadence|Align by usable knowledge, retaining source event interval, last observation, receipt and expected publication cadence. A coarse bar only supports a within-bar event interval; scheduled silence differs from feed failure. Coarsening must not invent event order.|Compare common-grid and source-triggered decisions at first actionable receiver cuts, with explicit latency and interval-order scenarios.|ETF bar spans two opposite touches; daily state remains unchanged; next-nearest quote is in future; delayed source event arrives after receiver move.
X02|Mapping pushforward and fitted inverse|Map geometry and joint uncertainty through the same frozen coordinate model. Distinguish algebraic/Jacobian inverse from a separately fitted conditional reverse regression, which need not equal 1/b. Near-zero slopes or extrapolation invalidate sensitivity conversion; nonlinear bands require scenario pushforward.|Compare ratio, affine and basis filters using held-out coordinate/interval error relative to candidate width; separate proxy mapping from observed source touch.|Wide forward interval; inverse regression differs from reciprocal slope; dividend/roll jump; near-zero b; mapped edges reverse order under invalid slope.
X03|Nasdaq comparison estimands|Freeze each chain's eligibility and common-cohort definition before outcome inspection. Report matched-intersection information gain and full-supported deployment value separately; density, available expiries and mapping uncertainty are explicit comparison dimensions.|Compare futures-only, each Nasdaq chain, pairs and joint information at equal model/search capacity, including no-local-node episodes.|NDX missing near expiry; NDXP versus monthly settlement; QQQ missing node; quote-quality filter preferentially drops stress days; different candidate counts.
X04|S&P information versus execution choice|Separate the value of S&P information for NQ from the choice to execute ES. Use actual one-mini point values/costs/risk-feasible plans, common predeclared dates and independent source-quality masks; missing ES execution data does not remove valid source-only NQ opportunities.|Compare SPY/SPX/SPXW/native-option contributions and NQ/ES policies as different experiments with distinct estimands.|Valid SPX signal during an ES replay gap; AM/PM same date; unequal budget-fit opportunity counts; one instrument's unavailable losing day silently excluded.
X05|First-actionable transmission episode|Freeze the source-event definition, confirmation time, receiver state and residual future horizon at availability. Cluster repeated notifications into source episodes while preserving new information. Common-driver controls must themselves be as-of; predictive increment is not causal proof.|Compare source level event, source returns and receiver-only models at identical actionable cuts, plus extra-lag and event-time placebos.|Source already moved and receiver followed; same event emits three alerts; later confirmation changes source event class; contradictory events; minute-order ambiguity.
X06|Joint-model fit closure and shared evidence|All learned encoders, mappings, source heads, imputers and calibrators belong to the joint training closure. Preserve common-shock dependence and actual missingness patterns; attention weights or graph edges alone do not establish contribution or transmission.|Compare additive versus joint information using same target/cohort/capacity budgets and leave-family/edge/time ablations with full refits.|One current downstream forecast leaks to its ancestor; duplicated board; entire source absent; graph edge learned on test date; future universe cardinality token.
X07|Comparable relative-flow states|Define return/flow normalization, reference anchors, beta estimation window and observed lag separately. Do not compare arbitrary cumulative levels across resets or markets. Keep lag estimation causal and distinguish same-market price units from standardized predictive residuals.|Compare price-only SMT, flow/cohort/OHLC innovations and joint variants with common latency and pair-search budgets.|Opposite resets create apparent divergence; feed lag creates false lead; beta changes sign; unknown-side cohort; identical CVD close with different path.
X08|Proxy, print and constituent boundaries|ETF relative behavior is a proxy, not observed constituent breadth. TRF unsigned receipt-time information, constituent-weighted breadth and earnings surprise retain independent acquisition/identity/publication gates. Corrected prints revise state only when received.|Compare ETF price/volume, known-event, later certified constituent and TRF channels separately before fusion.|ETF volume assigned a fictional aggressor; current constituents used historically; delayed/cancelled TRF print; later top-print rank; earnings timestamp uncertain.
X09|Native units and global-session support|Each child retains native economic units, currency direction, contract grade/multiplier, actual cadence and calendar. Related-market spread proxies do not imply an arbitrage identity. Shared features do not remove independent per-child target/horizon scores.|Compare each global source and currency contribution separately and jointly with receiver-only/common-driver controls.|Japan holiday during US session; inverse FX quote; copper weight/currency mismatch; daily yield treated as intraday tick; commodity roll creates false stress.
X10|Report vintage and effective observations|Keep methodology/version, observation interval, first available publication and revisions. Report-level state changes cannot be interpreted as market changes when units/scope changed. Repeated minute use of one release does not create independent report evidence.|Compare level/change/age and each slow-source addition using report- and date-dependent uncertainty and verified publication cohorts.|One weekly report repeated thousands of times; delayed holiday release; revised history; unit/methodology break; missing release mistaken for zero change.
L01|Provisional and frozen internal geometry|Each quarter/EQ/open object retains the exact range version and whether it is provisional. A changed forming range creates a changed candidate; labels keep their birth geometry. Coincident open/EQ prices retain provenance without becoming duplicate economic actions.|Compare internal object types and roles with a fixed scorer, then role models on the same objects and matched grid controls.|Open equals EQ; zero-width range; later forming high moves EQ after contact; two anchors yield same price; internal continuation without gamma.
L02|Projection coordinate and contact outcome|Store edge-relative k and normalized range position separately, preserving exact source grids before rounding. Traded contact, gap crossing, partial retrace and later continuation are distinct outcomes; a far no-reach candidate remains in coverage accounting.|Compare fixed projections and learned excursion-derived proposals with density/distance/width controlled before whole-policy comparison.|W100 upper edge+133 versus x=1.33; mirrored lower region; jump across a band; contact followed by continuation; multiple ratios round to one tick.
L03|Prior-session reference interpretation|Keep RTH-only source freshness and ETH-aware challenger as separate states on the same prior reference. A roll/price bridge or source revision creates explicit new mapping/version; prior old-contract extremes are not silently current-contract prices.|Compare source anchor and sweep rules independently from added prior-value/delta information.|ETH sweep followed by RTH trade; prior RTH incomplete on holiday; current 6–9 high confused with prior high; roll changes coordinate; late prior correction.
L04|Statistical zone estimand and uncertainty|Separate forecast quantile/mode, geometric candidate support, statistical estimation uncertainty, mapping uncertainty and contact tolerance. A zero-excursion mass may imply no travel rather than a new profitable level. Snapping creates an explicit changed proposal and label geometry.|Compare free, snapped and soft-node-distance statistical proposals at matched count/width; then compare fixed candidate role scoring.|Several quantiles collapse to current price; broad band inflates touch rate; mode of max differs from reversal price; snap crosses side; wrong anchor at a later cut.
L05|Profile feature and role separation|Represent tied POCs, shelves, valleys and multimodal separators with explicit membership/prominence and anchor. Historic low volume is not current thin depth. Grid/smoothing changes are representation effects, not new auction events.|Compare every profile-location type against POC/VA-only and matched-grid controls, holding scoring fixed before model changes.|POC plateau; valley filled by later trades; unchanged profile under grid-phase shift; same price from different anchors; boundary moves after entry.
L06|Side concentration and observed protection|Generate side/contrast geometry from explicit buy/sell/unknown channels without destroying opposing mass by net cancellation. Protection/reward is a later observed state; it cannot select which initial shelf was born. Missing signed tape may retain total-volume geometry only.|Compare total profile, signed contrast and cohort-side locations at identical anchors, with clustered sign/coverage perturbations.|Net delta zero but strong two-sided activity; high positive delta loses; unknown-heavy wing; later reward backdates shelf; opposing shelves share price.
L07|TPO qualification and birth history|Single prints/tails/poor extremes have provisional and final qualification times. Keep bracket visitation separate from continuous dwell and traded volume; a candle gap does not fill every intermediate TPO row. Naked/unfilled history states their observation interval.|Compare source bracket/IB objects, exact dwell and volume alternatives with identical eligibility and visit definitions.|Single print filled before final qualification; same bracket revisits one row; missing bracket; weekly holiday IB; next-open gap crosses prior POC without trade.
L08|Leg confirmation and geometry revisions|Keep pivot event, confirmation, running leg and replacement as distinct records. Reversal thresholds fixed at leg birth or explicitly versioned cannot confirm a swing solely because a volatility estimate fell. Model confirmation cost at the actual actionable price.|Compare fixed pivot, tick/vol reversal and provisional legs with matched age/delay/geometry controls.|Equal highs; no reversal in a trend; changing volatility threshold without price movement; nested legs; later confirmation backplotted at old extreme.
L09|Price-gap versus traded-imbalance definition|A three-bar wick/body gap is price geometry, not proof no trades occurred there during bar two. Measured volume imbalance requires tape. Formation/mitigation/inversion rules use exact completed bar IDs and known times; partial-bar variants are separate.|Compare disclosed wick/body structures and actual footprint imbalance with similar price size/age and density controls.|Bar two trades through the future FVG zone; identical consecutive HTF bars; zone fills before confirmation becomes available; future wick; missing trade coverage.
L10|Source geometry alternatives and shared identity|Retain each explicitly disclosed sweep/close rule and the separately named full-range/body/wick interpretations where drawing bounds are unresolved. Geometry, entry timing and stop choice are independent factors; the same L10/R18 source event is shared lineage.|Compare source variants and simple confirmation with actual post-confirmation entry/non-fill economics, without choosing the winning geometry afterward.|Third candle late; midpoint stop already invalid at entry; no midpoint retracement; body/wick disagreement; same event counted as two independent confirmations.
L11|Descriptive dispersion versus forecast interval|VWAP dispersion is weighted historical price spread under a named anchor, not automatically a confidence interval or future coverage claim. Frozen targets and explicitly tracking VWAP policies have different label/management definitions.|Compare exact/proxy VWAP, robust bands and contextual roles with fixed anchor and feasible moving-target policies.|Reset changes line; unchanged covered prices; moving VWAP turns a prior miss into a hit in a faulty labeler; borrowed index volume; two-SD band mislabeled 95% future probability.
L12|Reference publication and price meaning|Official settlement, last trade, first observed trade, verified session open and corporate-action/roll-adjusted reference are distinct. TRF objects begin at receipt with unsigned provenance and known correction lineage; unknown mapping cannot create an exact receiver price.|Compare reference types/fractions/clock windows and eligible print-derived objects against simple prior-price/round-number controls.|Late settlement; first archive row is not true session open; print correction; opening gap without traded contact; prior date carried under today's name.
L13|Mapped-node versions and source observability|Retain source node and mapping versions independently. Mapping drift can move the receiver band without source node change; uncertainty does not establish true cash-index contact. Keep support/uncertainty/tolerance separate and preserve no-reach versions.|Compare each chain/dynamics/holdings feature and mapped versus source-event information at matched width/density and source coverage.|NDXP/QQQ disagree; mapping changes after entry; missing wing; tiny source node; physically unchanged strike moves in receiver coordinates; large uncertainty makes plan infeasible.
L14|Composite corridor identity and role|Keep each corridor's ordered member nodes and interval versus endpoint role. A wide corridor already containing price is not evidence of predictive reach. Exposure centers, max-pain minimizers and arithmetic midpoints retain distinct formulas and shared-evidence lineage.|Compare composite objects with constituent nodes alone using matched count/width and separate contact/destination targets.|Current price inside broad corridor; empty side; minimizer is an interval; expiry filter changes all members; duplicate node and corridor votes.
L15|Receiver proposal at source availability|Start reward and geometry at the receiver's first actionable cut after source confirmation. Source failure is a prospective cancellation/management event, not hindsight removal of a losing opportunity. Feasible receiver protection exists independently of local node presence.|Compare immediate, pullback and confirmation policies from the same source episodes, including already-consumed movement and non-fills.|Source signal arrives after receiver turn; source later fails; receiver has no node; current receiver spread widens; contradictory source triggers; no valid stop.
L16|Proposal budget and two-stage comparison|Freeze spatial domain, grid, width/count and generation time; candidate offsets outside allowed neighborhoods become separately identified proposals. Proposal selection and downstream scoring form an acyclic sequence. Future outcomes supervise training only, never choose current realized geometry.|First compare generators under a common fixed scorer and matched opportunity budget; then compare scorers on common frozen proposals; finally refit whole policies.|Every tick proposed to inflate coverage; all peaks round to one action; offset changes after scoring; no-reach grid cells omitted; outer-day optimum leaks into proposal.
L17|Observed lifecycle versus learned retirement|Store observed touches, geometric invalidation, economic expiry and data loss independently from a policy's decision to retire. Retirement does not delete the object's history or exempt its rejected opportunities from a comparison; repeated visits retain a stable episode identity.|Compare deterministic TTL/first-touch rules and learned hazards on full initial populations, accounting for selective later retests and censoring.|Retired level later reacts; feed loss treated as failure; small revision resets visits; sweep/reclaim after invalidation; two contacts without leaving band.
L18|Provenance groups and equivalent actions|Separate shared-source lineage, overlapping geometry and empirically correlated forecasts. Transitive geometric overlap is not proof all members are one independent signal. Deduplicate economically identical action plans without discarding distinct evidence or alternate feasible plans.|Compare complete lists, deterministic grouping and learned set aggregation; use duplication-invariance and count/width controls with full rejected-candidate accounting.|A overlaps B and B overlaps C but A/C differ; POC and VWAP share trades; two expiries share strike; identical orders from different objects; active-set overflow.
L19|Origin versus later rewarded memory|Birth all eligible causal aggression/origin clusters at their actual formation time. Later reward/protection adds a new state/version; it cannot retrospectively make only winning clusters eligible. Source size filters are proxies with native units, not participant labels.|Compare raw origins, price-only clusters and later observed flow-memory states with delay/size/density/sign controls.|Largest print receives no reward; small cluster precedes move; later protected state; opposite side unknown; old idea relabeled to bypass cumulative risk.
P01|Intent version and asynchronous exposure|Bind every action to current account/market/proposal versions and an expiry; risk reservation and submit authorization are atomic. Pending, unknown and contingent orders are included in feasible race states. Record real fault-induced excess exposure rather than assuming the desired position invariant makes it impossible.|Compare deterministic reducer/reference and learned selection using the same lawful action set and full occupancy/day paths.|Two approvals race; fill after cancel request; stale intent; unknown position; opposite signal while held; broker fault creates extra exposure requiring resolution.
P02|Rounded geometry after feasible entry|Round stops/targets under explicit side/conservative rules and recompute USD geometry with the actual entry/fill and fees. A logical stop cannot be silently moved to fit the mini. Entry slippage beyond the reserved geometry triggers defined risk handling.|Compare fixed, structural and forecast-based brackets with the same entry opportunities and separate stop/target factors.|Stop rounds inside spread; target behind entry; slippage invalidates reserved plan; changing tick definition; same raw targets round identically; mapping width exceeds budget.
P03|Management policy occupancy and labels|Value hold/exit/stop/target amendments from current executable liquidation state to the fixed remaining end. Separate realized-trade MFE/MAE from fixed-horizon diagnostic excursions. Entry-price protection still has fees/gap risk; amendments preserve prior protection until verified replacement under broker semantics.|Compare exit and target changes independently on common entry paths, then replay each complete policy with its changed occupation/risk state.|Unfilled target amendment; cancel/replace race; backdated swing; target extension consumes later opportunity; early-exit policy tested only on eventual winners.
P04|Idea lineage and risk attribution|Preserve cumulative gross losses, net idea P&L and open/pending incremental risk as distinct quantities under a frozen idea-budget rule. Renames/splits/merges and correlated aliases cannot reset loss history; allocate each fill once with shared-risk references.|Compare no retry, fixed retry limits and evidence-conditioned retries from the same original ideas/days, including paths without later visits.|Two aliases retry same thesis; merge after a loss; profitable earlier retry versus gross-loss budget; immediate new quote is not new evidence; daily halt prevents recovery.
P05|Executable outcomes under declared uncertainty|Venue-outcome replay and strategy knowledge remain separate. Standing valid BBO can fill a marketable unit at arrival under depth/impact assumptions. Touch, trade-through and queue models are scenario-conditioned evidence, not universally ordered guaranteed fill truths; quote-only shadow does not identify passive queue rank.|Compare marketable and passive/wait policies on common ex-ante opportunities under plausible joint latency/fill/cost scenarios.|No print at touched limit; one-level depth insufficient after adverse move; venue quote unseen locally; auction transition; gap/stop-limit non-fill; same-time ambiguous order.
P06|Cost benchmark and joint fill distribution|Define decision benchmark, arrival benchmark, actual fills and markout horizons. Spread/latency/impact are attribution terms within shortfall, not extra charges on already side-correct fills. Model fill, execution price and adverse markout jointly where dependent; filled-only samples do not evaluate routing policy.|Compare fixed costs and calibrated conditional distributions with all sent/cancelled/rejected/non-filled actions and stressed end-to-end paths.|Entry at ask and exit at bid plus an erroneous extra spread; favorable price improvement; high fill probability selects toxic states; cancel after fill; changing fees.
P07|Event reducer and snapshot reconciliation|Order states are a reducer over durable IDs/revisions, not an assumed ordered message list. Reconcile broker snapshot as-of with subsequent events; a stale snapshot cannot erase a known fill. Timeout/unknown is unresolved exposure, and OCO cancellation needs actual semantics.|Compare reference reducer across event permutations allowed by the source contract, restart and duplicate delivery; learned anomaly detection cannot mutate exact state.|Fill-before-ack; late working snapshot after fill; duplicate execution ID; disconnect after submit; sibling fill race; legitimate execution correction.
P08|Independent mark-to-stop reserve|Compute day-start net headroom, current liquidation mark and incremental adverse reserve without double counting open losses or paid fees. Enumerate pending-order races jointly; finite stress reserves are not an absolute bound on market gaps. Trading and business cash adjustments retain distinct effects.|Compare exact reference risk paths and conservative reserve/budget policies under the same hard user ceiling.|Two concurrent intents; open loss counted twice; unfilled profit counted as headroom; withdrawal; profit then giveback; gap exceeds reserve; fee currency rounding.
P09|Versioned account rules and transitions|Record effective product/terms/date, calendar, floor-update clock and payout/fee state explicitly. Rule interpretation is deterministic under that version; unresolved active terms block only dependent account/deployment certification, not unrelated model research.|Compare hand-calculated lifecycle paths and declared product scenarios without tuning rules to make the strategy pass.|EOD floor with intraday enforcement; payout pending; locked floor; rule revision; fee changes consistency denominator; broker-specific cutoff conflict.
P10|Independent timers and flat confirmation|Schedule boundary/risk timers independently of incoming ticks, with UTC/calendar versions and monotonic duration tracking. Confirm flat only against reconciled position and all residual entry/contingent orders; a stale empty snapshot is insufficient. A market closure/outage remains an explicit unresolved outcome.|Compare fixed and empirically justified buffers through deterministic reachable faults and actual future telemetry when available.|No market tick near cutoff; clock adjustment; rejected close; late entry fill after cancel; restart while flattening; venue closed; stale broker flat snapshot.
P11|Eligible-day and cash conservation|Freeze eligible-day membership before results and keep future outages/flat days in the operational denominator. Separate trading P&L, deposits/withdrawals, received cash, pending entitlements and all paid business costs. Every ledger entry has one ownership/date rule.|Compare independent cash/position/fee reconstructions and accounting scenarios; no learned substitute for arithmetic.|Withdrawal double-counted as loss; pending payout counted received; failed evaluation fees omitted; reset across midnight; fee charged twice; missing market day removed after loss.
P12|Instrument choice as registered selection|Compare actual one-mini feasible policies with native point values, costs and risk budgets; do not force equal trade counts that hide an instrument's budget-fit differences. Freeze preference margin and selection before outer/future evidence; trial history includes selection.|Compare fixed NQ, fixed ES and development-selected policy on common dates, with wider supported cohorts separately reported.|Different data dates; larger NQ tick changes feasible stops; preference under wide uncertainty; hindsight daily switching; overlapping holdings during contract/instrument change.
R01|Frozen approach episode|Define outer-band start, inward direction, departure/reset and time origin against a fixed object version. Quote motion and executed-trade progress are distinct inputs; no-contact and censored approaches remain valid outcomes.|Compare speed/effort/acceleration representations and prefix actions with common initial approach episodes.|Zero elapsed time; band moves around stationary price; quote-only drift; delayed trade; approach reverses before contact; reset during a feed gap.
R02|Stall detection versus subsequent reversal|High effort and limited progress belong to a completed as-of observation window; later opposite movement is a target/transition. Preserve print-only, at-touch-book and coverage-uncertain evidence separately, with own/source-side orientation.|Compare simple price stall, effort-conditioned stall and book/cohort additions at identical detection cuts and natural base rates.|Large volume with efficient continuation; same effort from many prints; unsigned flow; reversal occurs before delayed detection; stall window grows after outcome.
R03|Causal push segmentation and observed quiet|Push start/end and confirmation latency are versioned. Declining eligible activity requires covered observation and all relevant size cohorts; no prints in a filtered display is not inactivity. Quiet efficient price movement differs from exhaustion.|Compare rate/size/efficiency decay and confirmed-push structure with simple price deceleration and common prefixes.|Unseen large-size cohort; no-trade quote drift; confirmed swing arrives late; feed outage; declining volume but increasing progress per contract.
R04|Burst event and limited-extension window|A burst's extremeness threshold, grouping and completed extension window are fixed causal definitions. Late aggregate/corrected prints and source batching are separate from contemporaneous bursts. Future turning price cannot pick the detection event.|Compare continuous effort/stall and extreme-tail flags/models under equal information and event-weighted support.|One late summary print; many adjacent bursts; burst followed by stronger continuation; current tail norm includes burst; window selected to stop at reversal.
R05|Displayed-state recovery bounds|At-touch net recovery uses a known unchanged best-price episode and normalized execution semantics. Price loss ends that episode; reappearance is a new observed state unless identity exists. Size recovery does not identify gross adds/cancels, reserve inventory or the same defender.|Compare print-only, book-only and combined recovery/duration features with realistic batching/order uncertainty.|Best price disappears then returns; trade and cancel offset; recovery by unrelated orders; repeated snapshots; three price ticks versus three updates.
R06|Depth capability and order identity|Keep best-price-state persistence distinct from individual order lifetime. MBP-1 cannot reconstruct off-touch changes from later best quotes. Richer anonymous order/depth data still do not identify participant motives; full-depth branches have an explicit acquisition/cohort gate.|Compare trade/BBO/depth information on the same supported dates only after definitions and incremental value justify depth research.|Off-touch pull invisible at best; benign cancellation; missing depth level; anonymous order replacement; BBO changes falsely called an order cancellation.
R07|Provisional footprint geometry|Candle body/wick membership is a function of the current or completed candle version. Reclassifying prior trades under final geometry is permitted only at close, not in earlier predictions. Signed-flow uncertainty propagates into disagreement rather than an invented definite sign.|Compare completed-bar and explicitly provisional geometry with the same first-actionable economics and separate event-order features.|Future wick enlarges; same final OHLC/delta different path; bar reset; all sides unknown; close changes body membership after signal.
R08|Diagonal ratio support and shrinkage meaning|State tick orientation, ratio-versus-percent convention, denominator support and stack birth timing. A sparse absent row can mean unobserved rather than zero. Cross-price count shrinkage is a feature model, not automatically a binomial confidence claim about independent trades.|Compare raw ratios, regularized contrast and total-effort/stack features at matched density/width, preserving exact source comparators.|350% of versus 350% greater; missing row; zero denominator; wide spread; two stacks share rows; final stack backdated before its last qualifying row.
R09|POC identity versus relative-position change|Separate an argmax membership flip, dominance/tie transition, centroid change and movement relative to a changing bar range. Earlier mass stays at its traded prices. Grid/normalization changes cannot create an economic flip event.|Compare tied-mode sets, dominance/persistence and continuous profile changes on common fixed bins and full initial sequences.|Range expands with mode stationary; one print breaks a tie; POC plateau; final bar mode used early; grid width changes mid-episode.
R10|CVD anchor and dimensional invariance|Compare each CVD with its own scale/anchor and causal median or increments. Cross-cohort/market channels have explicit normalization; resets and arbitrary additive offsets cannot create a divergence. Price/contract/Greek units remain separate.|Compare ordinary/cohort/OHLC and price/flow divergence families independently before common-target fusion.|Reset during approach; additive constant changes a faulty signal; incomparable options/futures units; delayed pivot; same close with different extrema.
R11|Distinct balance branches and common origins|Freeze A/B balance and reference identities with their known times. Prior-POC and prior-value failed-auction variants remain separate; return to A is not evidence of later far-edge traversal. No-retest/failed/unfinished branches share the initial opportunity denominator.|Compare source branch rules and multistate duration models from identical initial balances, with later stages valued at their own cuts.|B not distinct from A; B profile formed later; return to A then stall; acceptance at B instead of rejection; no-retest runner; repeated edge crossings.
